OBJECTID,pkey,name,station,type,entity,functional,physical_s,geometry_s,location,lane_numbe,lane_type,opperation,comm_link,project_sp,lat,lon,published_
95,18614,8244,S2050,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/West River Rd,2,Mainline,Active,L3128,2771-117,45.1269684,-93.30039153,2025-04-29
96,18613,8245,S2050,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/West River Rd,3,Mainline,Active,L3128,2771-117,45.12698377,-93.30043036,2025-04-29
97,18612,8246,S2050,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 EB/West River Rd,4,Mainline,Active,L3128,2771-117,45.1270023,-93.30046732,2025-04-29
98,18616,8249,S2051,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/West River Rd,1,Auxiliary,Active,L3127,2771-117,45.12731478,-93.30060129,2025-04-29
99,18617,8250,S2051,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/West River Rd,2,Auxiliary,Active,L3127,2771-117,45.12730123,-93.30057031,2025-04-29
100,18618,8251,S2051,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/West River Rd,3,Mainline,Active,L3127,2771-117,45.12728316,-93.30053289,2025-04-29
101,18619,8252,S2051,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/West River Rd,4,Mainline,Active,L3127,2771-117,45.12726251,-93.30049159,2025-04-29
102,18598,8255,S2052,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.252,1,Mainline,Active,L3112,2771-117,45.1229886,-93.31536097,2025-04-29
103,18597,8256,S2052,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/T.H.252,2,Mainline,Active,L3112,2771-117,45.12295361,-93.31536441,2025-04-29
104,18574,8261,S2053,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Noble Pkwy,1,Mainline,Active,L3109,2771-117,45.12422169,-93.33523489,2025-04-29
105,18573,8262,S2053,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Noble Pkwy,2,Mainline,Active,L3109,2771-117,45.12418739,-93.33524061,2025-04-29
106,18557,8270,S2054,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Zane Ave,1,Mainline,Active,L3104,2771-117,45.12782861,-93.3553743,2025-04-29
107,18556,8271,S2054,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Zane Ave,2,Mainline,Active,L3104,2771-117,45.12779387,-93.35539001,2025-04-29
108,18504,8271,S2054,Loop Detector,MnDOT,RTMC,Inplace,CADD Imported,T.H.610 WB/Zane Ave,2,Mainline,Active,L3104, ,45.12938729,-93.37476689,2025-04-29
109,17823,8369,S2121,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,1,Mainline,Active,L2558,2780-97,45.1430807,-93.49772722,2025-04-29
110,17824,8370,S2121,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,2,Mainline,Active,L2558,2780-97,45.14307003,-93.49777505,2025-04-29
111,17825,8371,S2121,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,2,Mainline,Active,L2558,2780-97,45.14305993,-93.49781769,2025-04-29
112,17826,8372,S2121,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 WB/T.H.610,4,Mainline,Active,L2558,2780-97,45.14304986,-93.49786035,2025-04-29
113,17786,8362,S2142,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,1,Mainline,Active,L2556,2780-97,45.14891363,-93.50121134,2025-04-29
114,17778,5382,S2142,Virtual Detector,MnDOT,RTMC,Proposed,CADD Imported,I-94 EB/T.H.610,2,Mainline,Active,L2556,2780-97,45.14892625,-93.50116858,2025-04-29
115,17776,5383,S2142,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,3,Mainline,Active,L2556,2780-97,45.14894015,-93.50112336,2025-04-29
116,17775,5384,S2142,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,4,Mainline,Active,L2556,2780-97,45.14895364,-93.50108108,2025-04-29
117,17829,8364,S2143,Virtual Detector,MnDOT,RTMC,Inplace,CADD Imported,I-94 EB/T.H.610,1,Mainline,Active,L2558,2780-97,45.14297531,-93.49817799,2025-04-29
